,case:concept:name,concept:name,time:timestamp
98,Case 22,Closed,2012-09-11 10:05:33
99,Case 23,Assign seriousness,2012-12-19 16:33:23
100,Case 23,Take in charge ticket,2013-01-03 08:26:14
101,Case 23,Resolve ticket,2013-01-22 15:50:53
102,Case 23,Closed,2013-02-06 15:51:06
103,Case 24,Assign seriousness,2010-04-27 09:49:56
104,Case 24,Take in charge ticket,2010-06-08 11:06:56
105,Case 24,Resolve ticket,2010-06-08 14:46:16
106,Case 24,Closed,2010-06-23 14:46:28
107,Case 25,Assign seriousness,2010-12-30 09:27:17
108,Case 25,Take in charge ticket,2010-12-30 13:14:04
109,Case 25,Resolve ticket,2010-12-30 15:16:35
110,Case 25,Closed,2011-02-16 09:30:28
111,Case 26,Assign seriousness,2011-03-31 07:28:47
112,Case 26,Take in charge ticket,2011-03-31 07:31:59
113,Case 26,Wait,2011-03-31 08:39:41
114,Case 26,Take in charge ticket,2011-03-31 11:00:28
115,Case 26,Resolve ticket,2011-03-31 11:00:41
116,Case 26,Closed,2011-05-05 09:50:46
117,Case 27,Assign seriousness,2011-11-24 14:02:16
118,Case 27,Take in charge ticket,2011-11-24 14:02:35
119,Case 27,Resolve ticket,2011-12-12 09:04:47
120,Case 27,Closed,2011-12-27 09:05:04
121,Case 28,Assign seriousness,2013-10-25 15:53:59
122,Case 28,Take in charge ticket,2013-10-25 15:54:05
123,Case 28,Create SW anomaly,2013-10-25 15:54:12
124,Case 28,Require upgrade,2013-10-25 15:54:23
125,Case 28,Require upgrade,2013-11-14 15:55:48
126,Case 28,Resolve ticket,2013-12-23 08:08:05
127,Case 29,Assign seriousness,2012-07-30 10:07:32
128,Case 29,Take in charge ticket,2012-07-30 10:07:40
129,Case 29,Resolve ticket,2012-07-30 12:29:40
130,Case 29,Closed,2012-09-14 10:10:38
131,Case 30,Assign seriousness,2011-01-21 09:47:20
132,Case 30,Take in charge ticket,2011-02-07 09:19:45
133,Case 30,Resolve ticket,2011-02-10 09:01:20
134,Case 30,Closed,2011-02-25 09:01:35
135,Case 31,Assign seriousness,2013-04-15 12:41:20
136,Case 31,Take in charge ticket,2013-04-18 07:06:11
137,Case 31,Create SW anomaly,2013-04-18 07:18:02
138,Case 31,Require upgrade,2013-04-18 07:18:23
139,Case 31,Resolve ticket,2013-05-15 13:30:39
140,Case 31,Closed,2013-05-30 13:31:00
141,Case 32,Assign seriousness,2011-04-27 07:38:44
142,Case 32,Take in charge ticket,2011-04-27 12:46:13
143,Case 32,Resolve ticket,2011-04-28 08:18:08
144,Case 32,Closed,2011-06-04 07:40:30
145,Case 33,Assign seriousness,2013-04-29 13:22:48
146,Case 33,Take in charge ticket,2013-05-14 14:53:46
147,Case 33,Resolve ticket,2013-05-15 10:19:05
148,Case 33,Closed,2013-05-30 10:19:20
149,Case 34,Assign seriousness,2013-06-11 13:56:40
150,Case 34,Take in charge ticket,2013-06-25 10:42:45
151,Case 34,Wait,2013-06-25 10:43:50
152,Case 34,Wait,2013-06-26 13:27:04
153,Case 34,Resolve ticket,2013-07-05 10:18:32
154,Case 34,Closed,2013-07-20 10:18:42
155,Case 35,Assign seriousness,2012-01-18 08:15:30
156,Case 35,Resolve ticket,2012-01-18 09:46:37
157,Case 35,Closed,2012-03-10 08:20:43
158,Case 36,Assign seriousness,2011-06-29 10:06:48
159,Case 36,Take in charge ticket,2011-06-30 12:58:23
160,Case 36,Resolve ticket,2011-07-05 07:32:43
161,Case 36,Closed,2011-07-30 10:10:20
162,Case 37,Assign seriousness,2011-02-10 11:13:07
163,Case 37,Take in charge ticket,2011-02-10 11:13:33
164,Case 37,Resolve ticket,2011-02-10 15:20:02
165,Case 37,Resolve ticket,2011-03-02 13:23:58
166,Case 37,Take in charge ticket,2011-03-02 13:24:07
167,Case 37,Wait,2011-03-02 15:27:52
168,Case 37,Take in charge ticket,2011-03-04 09:37:50
169,Case 37,Resolve ticket,2011-03-04 09:37:55
170,Case 37,Closed,2011-04-03 08:38:21
171,Case 38,Assign seriousness,2012-03-20 07:57:45
172,Case 38,Take in charge ticket,2012-03-20 07:58:15
173,Case 38,Resolve ticket,2012-03-20 08:18:56
174,Case 38,Closed,2012-04-21 16:00:36
175,Case 39,Assign seriousness,2013-08-29 11:05:59
176,Case 39,Take in charge ticket,2013-09-11 12:57:48
177,Case 39,Wait,2013-09-12 09:46:36
178,Case 39,Resolve ticket,2013-09-27 09:50:58
179,Case 39,Closed,2013-10-12 09:51:11
180,Case 40,Assign seriousness,2012-08-09 12:13:03
181,Case 40,Take in charge ticket,2012-08-09 12:13:29
182,Case 40,Resolve ticket,2012-08-09 12:46:00
183,Case 40,Closed,2012-09-12 12:20:25
184,Case 41,Assign seriousness,2010-12-14 10:44:26
185,Case 41,Take in charge ticket,2010-12-14 10:44:57
186,Case 41,Resolve ticket,2010-12-14 10:45:12
187,Case 41,Closed,2011-01-27 10:50:31
188,Case 42,Assign seriousness,2011-06-16 12:23:39
189,Case 42,Take in charge ticket,2011-06-16 12:51:05
190,Case 42,Resolve ticket,2011-06-16 13:39:51
191,Case 42,Closed,2011-07-30 12:30:33
192,Case 43,Assign seriousness,2012-04-10 08:56:32
193,Case 43,Take in charge ticket,2012-04-10 09:27:27
194,Case 43,Resolve ticket,2012-04-10 10:53:28
195,Case 43,Closed,2012-05-26 09:00:20
196,Case 44,Assign seriousness,2010-11-29 16:09:19
197,Case 44,Take in charge ticket,2010-11-29 16:19:59
198,Case 44,Resolve ticket,2010-11-29 16:20:51
199,Case 44,Closed,2010-12-31 16:10:28
200,Case 45,Assign seriousness,2012-01-20 14:08:14
201,Case 45,Take in charge ticket,2012-01-25 11:46:19
202,Case 45,Resolve ticket,2012-03-02 10:40:59
203,Case 45,Closed,2012-03-17 10:41:18
204,Case 46,Assign seriousness,2012-11-14 14:33:17
205,Case 46,Take in charge ticket,2012-11-15 13:33:28
206,Case 46,Take in charge ticket,2012-11-15 13:33:59
207,Case 46,Wait,2012-11-16 11:37:21
208,Case 46,Resolve ticket,2012-12-14 14:20:49
209,Case 46,Closed,2012-12-29 14:21:03
210,Case 47,Assign seriousness,2011-05-25 09:48:18
211,Case 47,Take in charge ticket,2011-05-25 09:48:43
212,Case 47,Resolve ticket,2011-05-30 15:04:34
213,Case 47,Closed,2011-07-01 09:50:37
214,Case 48,Insert ticket,2010-12-01 13:42:59
215,Case 48,Assign seriousness,2010-12-02 14:07:33
216,Case 48,Take in charge ticket,2010-12-02 14:07:41
217,Case 48,Resolve ticket,2010-12-02 14:08:33
218,Case 48,Closed,2011-01-01 14:08:51
219,Case 49,Assign seriousness,2011-11-25 14:33:54
220,Case 49,Take in charge ticket,2011-11-25 14:47:48
221,Case 49,Wait,2011-11-29 14:47:35
222,Case 49,Resolve ticket,2011-12-02 16:25:57
223,Case 49,Closed,2012-01-07 16:20:26
224,Case 50,Assign seriousness,2012-01-16 10:53:01
225,Case 50,Take in charge ticket,2012-01-16 10:59:51
226,Case 50,Resolve ticket,2012-01-16 16:37:54
227,Case 50,Resolve ticket,2012-01-16 16:37:55
228,Case 50,Closed,2012-02-16 11:00:57
229,Case 51,Assign seriousness,2012-06-13 13:55:36
230,Case 51,Take in charge ticket,2012-06-14 07:07:06
231,Case 51,Wait,2012-06-15 07:16:27
232,Case 51,Resolve ticket,2012-07-02 09:41:04
233,Case 51,Closed,2012-07-18 07:30:21
234,Case 52,Assign seriousness,2012-07-26 15:18:26
235,Case 52,Take in charge ticket,2012-07-26 15:18:35
236,Case 52,Resolve ticket,2012-07-27 10:46:28
237,Case 52,Closed,2012-09-12 15:20:55
238,Case 53,Assign seriousness,2010-10-14 13:53:13
239,Case 53,Take in charge ticket,2010-10-15 13:02:36
240,Case 53,Wait,2010-10-28 15:12:55
241,Case 53,Wait,2010-10-28 15:12:55
242,Case 53,Take in charge ticket,2010-10-29 13:42:01
243,Case 53,Resolve ticket,2010-11-04 08:48:12
244,Case 53,Closed,2010-12-04 08:48:57
245,Case 54,Assign seriousness,2013-11-07 08:20:59
246,Case 54,Take in charge ticket,2013-11-29 09:10:50
247,Case 54,Resolve ticket,2013-12-02 16:14:22
248,Case 54,Closed,2013-12-17 16:14:40
249,Case 55,Assign seriousness,2011-10-26 15:51:42
250,Case 55,Take in charge ticket,2011-10-31 15:19:03
251,Case 55,Wait,2011-11-07 08:44:52
252,Case 55,Resolve ticket,2011-11-21 08:21:23
253,Case 55,Closed,2011-12-06 08:21:36
254,Case 56,Assign seriousness,2012-01-30 11:32:58
255,Case 56,Resolve ticket,2012-01-30 11:33:23
256,Case 56,Closed,2012-03-14 11:40:25
257,Case 57,Assign seriousness,2010-10-29 09:39:23
258,Case 57,Take in charge ticket,2010-11-02 14:56:13
259,Case 57,Resolve ticket,2010-11-02 15:39:05
260,Case 57,Closed,2010-11-30 10:40:55
261,Case 58,Assign seriousness,2012-11-16 15:49:30
262,Case 58,Create SW anomaly,2012-11-16 15:49:51
263,Case 58,Require upgrade,2012-11-28 13:50:07
264,Case 58,Resolve ticket,2012-12-17 09:55:05
265,Case 58,Closed,2013-01-01 09:55:26
266,Case 59,Assign seriousness,2012-03-28 12:28:37
267,Case 59,Take in charge ticket,2012-03-28 12:28:47
268,Case 59,Resolve ticket,2012-03-28 15:32:57
269,Case 59,Resolve ticket,2012-03-28 15:32:57
270,Case 59,Closed,2012-04-28 12:30:17
271,Case 60,Assign seriousness,2011-04-06 15:35:49
272,Case 60,Take in charge ticket,2011-04-06 15:36:04
273,Case 60,Wait,2011-04-07 15:41:23
274,Case 60,Take in charge ticket,2011-04-13 08:49:14
275,Case 60,Resolve ticket,2011-04-13 08:49:22
276,Case 60,Closed,2011-05-28 08:50:26
277,Case 61,Assign seriousness,2011-09-16 07:04:39
278,Case 61,Take in charge ticket,2011-09-16 07:18:12
279,Case 61,Resolve ticket,2011-09-16 15:04:46
280,Case 61,Closed,2011-11-10 08:10:45
281,Case 62,Assign seriousness,2012-05-28 15:16:47
282,Case 62,Resolve ticket,2012-05-28 15:18:27
283,Case 62,Closed,2012-07-26 15:20:39
284,Case 63,Assign seriousness,2013-03-06 15:05:09
285,Case 63,Take in charge ticket,2013-03-22 08:58:01
286,Case 63,Resolve ticket,2013-03-22 09:34:16
287,Case 63,Closed,2013-04-06 08:34:35
288,Case 64,Assign seriousness,2011-04-14 15:54:28
289,Case 64,Assign seriousness,2011-04-14 15:54:46
290,Case 64,Wait,2011-04-15 10:41:19
291,Case 64,Take in charge ticket,2011-04-27 10:30:04
292,Case 64,Wait,2011-04-27 10:30:13
293,Case 64,Take in charge ticket,2011-05-06 09:42:13
294,Case 64,Resolve ticket,2011-05-06 09:42:28
295,Case 64,Closed,2011-05-21 09:42:52
296,Case 65,Assign seriousness,2013-02-13 13:41:45
297,Case 65,Take in charge ticket,2013-03-01 09:23:38
298,Case 65,Wait,2013-03-01 10:14:20
299,Case 65,Resolve ticket,2013-03-01 16:01:20
300,Case 65,Closed,2013-03-16 16:01:36
301,Case 66,Assign seriousness,2012-06-26 08:46:53
302,Case 66,Take in charge ticket,2012-06-26 08:47:39
303,Case 66,Resolve ticket,2012-06-26 13:05:58
304,Case 66,Closed,2012-08-24 15:42:30
305,Case 67,Assign seriousness,2010-12-30 15:03:15
306,Case 67,Take in charge ticket,2011-01-11 08:40:08
307,Case 67,Resolve ticket,2011-01-13 11:45:18
308,Case 67,Closed,2011-02-12 15:10:46
309,Case 68,Assign seriousness,2012-04-11 14:09:22
310,Case 68,Take in charge ticket,2012-04-11 14:09:45
311,Case 68,Resolve ticket,2012-04-12 10:31:37
312,Case 68,Closed,2012-05-12 14:10:23
313,Case 69,Assign seriousness,2013-04-05 08:30:22
314,Case 69,Take in charge ticket,2013-04-30 13:27:21
315,Case 69,Resolve ticket,2013-04-30 13:32:43
316,Case 69,Closed,2013-05-15 13:32:57
317,Case 70,Assign seriousness,2011-06-07 07:34:53
318,Case 70,Take in charge ticket,2011-06-07 07:35:14
319,Case 70,Wait,2011-07-08 08:44:58
320,Case 70,Resolve ticket,2011-07-12 07:00:36
321,Case 70,Closed,2011-07-27 07:01:03
322,Case 71,Assign seriousness,2011-11-02 08:20:14
323,Case 71,Take in charge ticket,2011-11-02 08:20:41
324,Case 71,Resolve ticket,2011-11-02 09:49:41
325,Case 71,Closed,2011-12-07 08:30:27
326,Case 72,Assign seriousness,2011-01-25 13:15:31
327,Case 72,Take in charge ticket,2011-01-25 13:15:58
328,Case 72,Resolve ticket,2011-02-14 11:48:42
329,Case 72,Closed,2011-03-01 11:48:59
330,Case 73,Assign seriousness,2012-07-31 11:01:15
331,Case 73,Resolve ticket,2012-07-31 11:02:02
332,Case 73,Closed,2012-09-07 11:00:40
333,Case 74,Resolve ticket,2012-02-10 11:42:26
334,Case 74,Closed,2012-04-10 09:32:49
335,Case 75,Assign seriousness,2010-03-11 15:15:54
336,Case 75,Assign seriousness,2010-04-23 07:44:51
337,Case 75,Take in charge ticket,2010-04-23 07:44:59
338,Case 75,Resolve ticket,2010-04-23 07:45:04
339,Case 75,Closed,2010-05-08 07:45:21
340,Case 76,Assign seriousness,2012-01-10 15:01:36
341,Case 76,Resolve ticket,2012-01-10 15:58:08
342,Case 76,Closed,2012-02-25 15:10:39
343,Case 77,Assign seriousness,2013-09-25 13:32:38
344,Case 77,Take in charge ticket,2013-09-25 13:33:02
345,Case 77,Wait,2013-09-25 14:29:45
346,Case 77,Resolve ticket,2013-10-21 15:09:58
347,Case 77,Closed,2013-11-05 16:10:14
348,Case 78,Assign seriousness,2011-11-08 09:18:10
349,Case 78,Take in charge ticket,2011-11-08 09:22:35
350,Case 78,Resolve ticket,2011-12-05 16:33:12
351,Case 78,Closed,2011-12-20 16:33:29
352,Case 79,Assign seriousness,2013-10-03 07:22:55
353,Case 79,Take in charge ticket,2013-10-04 09:08:21
354,Case 79,Wait,2013-10-07 13:20:44
355,Case 79,Wait,2013-10-09 07:36:41
356,Case 79,Resolve ticket,2013-11-08 09:26:35
357,Case 79,Closed,2013-11-23 09:26:49
358,Case 80,Assign seriousness,2012-08-02 09:22:58
359,Case 80,Take in charge ticket,2012-08-03 12:12:15
360,Case 80,Resolve ticket,2012-08-10 10:13:48
361,Case 80,Closed,2012-09-09 10:14:13
362,Case 81,Assign seriousness,2010-02-09 08:31:47
363,Case 81,Take in charge ticket,2010-02-09 08:35:12
364,Case 81,Wait,2010-02-09 08:35:26
365,Case 81,Wait,2010-02-09 08:36:27
366,Case 81,Take in charge ticket,2010-02-19 08:31:40
367,Case 81,Resolve ticket,2010-02-19 08:32:00
368,Case 81,Closed,2010-04-09 07:40:43
369,Case 82,Assign seriousness,2013-10-31 14:55:24
370,Case 82,Take in charge ticket,2013-10-31 15:04:25
371,Case 82,Wait,2013-11-05 14:35:43
372,Case 82,Resolve ticket,2013-11-19 16:09:52
373,Case 82,Closed,2013-12-04 16:10:09
374,Case 83,Assign seriousness,2013-07-16 14:19:52
375,Case 83,Take in charge ticket,2013-07-23 08:59:56
376,Case 83,Wait,2013-07-24 08:11:00
377,Case 83,Resolve ticket,2013-08-19 15:22:57
378,Case 83,Closed,2013-09-03 15:23:13
379,Case 84,Assign seriousness,2010-12-10 09:15:54
380,Case 84,Take in charge ticket,2010-12-10 09:16:17
381,Case 84,Resolve ticket,2010-12-10 09:16:34
382,Case 84,Closed,2011-01-12 09:20:47
383,Case 85,Assign seriousness,2011-02-24 17:01:50
384,Case 85,Take in charge ticket,2011-02-24 17:03:45
385,Case 85,Resolve ticket,2011-03-04 10:02:13
386,Case 85,Closed,2011-04-09 16:00:27
387,Case 86,Assign seriousness,2012-06-12 16:12:48
388,Case 86,Take in charge ticket,2012-06-15 07:27:33
389,Case 86,Wait,2012-06-15 10:00:52
390,Case 86,Resolve ticket,2012-06-18 09:42:02
391,Case 86,Closed,2012-07-14 15:40:24
392,Case 87,Assign seriousness,2011-11-14 14:35:55
393,Case 87,Take in charge ticket,2011-11-17 16:58:30
394,Case 87,Wait,2011-11-17 16:59:03
395,Case 87,Resolve ticket,2011-11-25 09:30:07
396,Case 87,Take in charge ticket,2011-11-28 13:50:35
397,Case 87,Wait,2011-11-28 13:59:00
398,Case 87,Resolve ticket,2011-12-07 13:41:18
399,Case 87,Closed,2012-01-06 16:20:25
400,Case 88,Assign seriousness,2010-09-24 07:57:49
401,Case 88,Assign seriousness,2010-09-24 13:43:51
402,Case 88,Wait,2010-09-24 13:44:52
403,Case 88,Take in charge ticket,2010-10-04 10:48:54
404,Case 88,Resolve ticket,2010-10-04 10:49:08
405,Case 88,Closed,2010-11-03 11:49:30
406,Case 89,Assign seriousness,2013-02-26 16:56:03
407,Case 89,Take in charge ticket,2013-03-13 16:41:09
408,Case 89,Resolve ticket,2013-03-14 15:26:52
409,Case 89,Closed,2013-03-29 15:27:15
410,Case 90,Assign seriousness,2010-03-16 07:59:03
411,Case 90,Take in charge ticket,2010-03-17 09:02:03
412,Case 90,Resolve ticket,2010-03-17 09:49:51
413,Case 90,Closed,2010-04-21 16:00:28
414,Case 91,Assign seriousness,2011-05-24 12:51:35
415,Case 91,Take in charge ticket,2011-05-24 12:52:07
416,Case 91,Resolve ticket,2011-05-24 13:36:11
417,Case 91,Closed,2011-07-09 13:00:36
418,Case 92,Assign seriousness,2010-03-09 10:09:33
419,Case 92,Take in charge ticket,2010-03-09 10:09:44
420,Case 92,Resolve ticket,2010-03-18 09:27:56
421,Case 92,Closed,2010-05-02 08:28:46
422,Case 93,Assign seriousness,2012-07-25 07:02:54
423,Case 93,Take in charge ticket,2012-07-30 09:39:04
424,Case 93,Resolve ticket,2012-08-02 15:14:07
425,Case 93,Closed,2012-09-09 07:10:33
426,Case 94,Assign seriousness,2012-02-08 08:33:56
427,Case 94,Take in charge ticket,2012-02-08 08:34:08
428,Case 94,Resolve ticket,2012-02-08 08:34:34
429,Case 94,Closed,2012-04-07 07:42:34
430,Case 95,Assign seriousness,2011-09-26 10:27:14
431,Case 95,Take in charge ticket,2011-09-29 13:54:32
432,Case 95,Resolve ticket,2011-09-30 09:09:23
433,Case 95,Closed,2011-10-27 10:30:27
434,Case 96,Assign seriousness,2012-02-27 16:31:32
435,Case 96,Take in charge ticket,2012-02-28 08:52:59
436,Case 96,Resolve ticket,2012-02-29 08:25:13
437,Case 96,Resolve ticket,2012-02-29 08:25:14
438,Case 96,Closed,2012-04-11 15:40:27
439,Case 97,Assign seriousness,2013-04-02 12:26:52
440,Case 97,Take in charge ticket,2013-04-05 16:14:03
441,Case 97,Resolve ticket,2013-05-10 09:30:24
442,Case 97,Closed,2013-05-25 09:30:42
443,Case 98,Assign seriousness,2012-07-05 12:16:51
444,Case 98,Take in charge ticket,2012-07-05 12:20:39
445,Case 98,Resolve ticket,2012-07-09 13:21:24
446,Case 98,Closed,2012-08-07 12:20:18
447,Case 99,Assign seriousness,2011-05-11 10:16:32
448,Case 99,Take in charge ticket,2011-05-11 10:17:55
449,Case 99,Resolve ticket,2011-05-16 08:33:29
450,Case 99,Closed,2011-06-11 10:20:27
451,Case 100,Assign seriousness,2013-04-12 10:25:17
452,Case 100,Take in charge ticket,2013-04-24 10:24:01
453,Case 100,Require upgrade,2013-04-24 15:51:11
454,Case 100,Resolve ticket,2013-05-15 13:21:00
455,Case 100,Closed,2013-05-30 13:21:20
456,Case 101,Insert ticket,2010-06-18 13:47:15
457,Case 101,Assign seriousness,2010-06-18 14:18:15
458,Case 101,Take in charge ticket,2010-06-29 07:35:47
459,Case 101,Resolve ticket,2010-06-29 08:33:07
460,Case 101,Closed,2010-08-05 13:50:24
461,Case 102,Assign seriousness,2012-01-30 09:09:29
462,Case 102,Take in charge ticket,2012-01-30 09:09:57
463,Case 102,Resolve ticket,2012-01-31 08:12:06
464,Case 102,Closed,2012-03-16 09:12:11
465,Case 103,Assign seriousness,2010-06-07 07:30:54
466,Case 103,Assign seriousness,2010-06-07 07:49:10
467,Case 103,Take in charge ticket,2010-06-07 15:16:44
468,Case 103,Wait,2010-06-08 10:37:29
469,Case 103,Take in charge ticket,2010-06-09 07:18:05
470,Case 103,Create SW anomaly,2010-06-09 07:18:28
471,Case 103,Resolve ticket,2010-06-16 09:23:07
472,Case 103,Closed,2010-07-16 09:23:33
473,Case 104,Assign seriousness,2011-01-27 08:34:59
474,Case 104,Take in charge ticket,2011-01-27 09:32:40
475,Case 104,Resolve ticket,2011-01-27 09:34:24
476,Case 104,Closed,2011-03-05 08:42:36
477,Case 105,Assign seriousness,2012-11-20 09:00:13
478,Case 105,Take in charge ticket,2012-11-26 16:42:13
479,Case 105,Wait,2012-11-30 09:01:21
480,Case 105,Resolve ticket,2012-12-07 16:04:16
481,Case 105,Closed,2012-12-22 16:04:35
482,Case 106,Assign seriousness,2013-02-15 13:12:20
483,Case 106,Resolve ticket,2013-03-05 08:06:13
484,Case 106,Closed,2013-03-20 08:06:31
485,Case 107,Assign seriousness,2013-10-30 13:25:20
486,Case 107,Take in charge ticket,2013-10-31 14:48:10
487,Case 107,Wait,2013-11-15 08:31:41
488,Case 107,Resolve ticket,2013-11-18 08:20:45
489,Case 107,Closed,2013-12-03 08:20:56
490,Case 108,Assign seriousness,2011-01-12 11:28:16
491,Case 108,Take in charge ticket,2011-01-24 09:21:26
492,Case 108,Resolve ticket,2011-01-26 08:12:39
493,Case 108,Closed,2011-02-25 08:13:02
494,Case 109,Assign seriousness,2010-09-24 15:35:31
495,Case 109,Take in charge ticket,2010-09-27 09:11:48
496,Case 109,Wait,2010-09-28 08:31:41
497,Case 109,Take in charge ticket,2010-11-08 09:33:36
498,Case 109,Resolve ticket,2010-11-08 09:33:57
499,Case 109,Closed,2010-11-23 09:34:09
500,Case 110,Assign seriousness,2010-12-16 09:33:24
501,Case 110,Take in charge ticket,2010-12-16 09:40:25
502,Case 110,Resolve ticket,2010-12-16 15:52:50
503,Case 110,Closed,2011-02-13 09:40:36
504,Case 111,Assign seriousness,2010-06-29 14:00:48
505,Case 111,Take in charge ticket,2010-06-29 15:16:26
506,Case 111,Resolve ticket,2010-06-30 08:05:04
507,Case 111,Take in charge ticket,2010-06-30 14:19:00
508,Case 111,Wait,2010-07-01 09:00:03
509,Case 111,Take in charge ticket,2010-07-02 14:07:18
510,Case 111,Resolve ticket,2010-07-02 14:08:52
511,Case 111,Closed,2010-08-05 14:10:24
512,Case 112,Assign seriousness,2011-10-06 07:50:55
513,Case 112,Take in charge ticket,2011-10-07 14:03:47
514,Case 112,Resolve ticket,2011-10-14 14:44:32
